neighbourhood,Ring
Ahn Jung,3
Bei Tai Ping Zhuang,3
Beijing University,5
Beiyuan,6
Caoqiao,3
Chaoyang,4
Chaoyang Park/Tuan Jie Hu,4
Chongwenmen,2
Dahongmen,3
Dawanglu,4
Dong Si,2
Dongcheng,2
Dongzhimen,2
Fang Zhuang,3
Fengtai,3
Foreign Trade,4
Fuxingmennei,2
Great Road,4
Guangqumenwai,3
Haidian,4
Hu Fangqiao,2
Huaxiang,3
ITC,3
Jiàn Wài Dàjiē,3
Jian Guo Men/Beijing Railway Station,2
Jinsong/Panjiayuan,3
Jiuxianqiao,4
Kaiyangli,3
Liang Ma Qiao/Sanyuanqiao,3
Liuliqiao/Lize Bridge,3
Niujie,2
Peace,3
Qianmen,2
Qinghe,6
Qingta,4
Sanlitun,3
Shazikou,5
Shichahai,2
Shilipu,4
Shuangjing,3
Shuangyushu,3
Summer Palace,5
Suzhouqiao,3
Temple of Heaven,2
Third Road Jucun/Liucun,3
Wai Avenue,3
Wangfujing/Dongdan,2
Wangjing,4
Weigongcun,3
Wudaokou,5
Wukesong,4
Xicheng,2
Xinjiekou,2
Xizhimen,2
Xuanwu,2
You'anmen,2
Yue Tan,2
Zhongguancun,4
Zhuang,6
Zizhuqiao,3
Zuojiazhuang,2
(blank),